text,language,n_words
"Nach der Tagesordnung folgt die Aussprache über aktuelle, dringliche und wichtige Fragen.
",de,12
"Estuarij ni tundra, savana ni puščava.
",sl,6
"Nie tylko poważne wypadki mają katastrofalny wpływ na gospodarkę i środowisko oraz interes narodowy państw.
",pl,15
"Dlaczego zdecydowałem się zacytować Henry'ego Forda?
",pl,7
"Presidiet måste göra en dubbel allmän begäran till församlingen.
",sv,9
"Kolmanneksi: EU on ottanut ensiaskeleensa kohti yhteistä puolustuspolitiikkaa ja yhteistä aseteollisuutta.
",fi,11
"O objectivo defendido pela República Francesa é simples e claramente especificado na exposição de motivos.
",pt,15
"Minila so tri leta od te izjave in kaj se je zgodilo?
",sl,12
"Das entspricht nicht der Wahrheit!
",de,5
"Αντιθέτως, μακροπρόθεσμα υπάρχει συνέργεια ανάμεσα στους εν λόγω στόχους.
",el,9
"Un'ultima parola sul personale di bordo: sono felice che abbiamo trovato un solido accordo.
",it,15
"Señora Presidenta, Señorías, ¿por qué estamos aquí?
",es,7
"Potrebujemo nujne ukrepe za ohranitev uspešnih delovnih mest povsod, kjer je to mogoče.
",sl,13
"Penso que, nas actuais circunstâncias, isto é, realmente, o melhor que conseguimos pôr no papel.
",pt,15
"Er dette et udtryk for den tyske opfattelse af menneskerettigheder?
",da,10
"Wir können doch zum unnötigen Sterben dieser Frauen nicht einfach schweigen!
",de,11
"Προς την Ευρωπαϊκή Ένωση κατευθύνεται περίπου το 45% των εξαγωγών της χώρας.
",el,11
"Ich begrüße das sehr, und ich beglückwünsche Sie dazu auch.
",de,10
"Mielestäni tällainen toimintasuunnitelma voisi antaa varainhoidolle sen poliittisen painoarvon, jota se kipeästi tarvitsee.
",fi,13
"Kryzys dowiódł, że niektóre rzeczy mogą zachodzić niezwykle szybko.
",pl,9
"Naše kulturní tradice nás zavazuje, abychom usilovali o lidštější svět, který respektuje lidská práva.
",cs,14
"Mon ami, M. Wiersma, en a parlé.
",fr,7
"Sammen har vi arbejdet meget hårdt på at nå frem til kompromiset.
",da,12
"No existe más que un puñado de casos como estos.
",es,10
"Não tenho a certeza.
",pt,4
"Kde se v tom dá najít nějaký smysl?
",cs,8
"Vendar me veseli, da smo z odločnim prizadevanjem napredovali.
",sl,9
"Det är därför viktigt att vi kan uppmuntra till hälsosammare matvanor bland barn.
",sv,13
"To je osnovno sporočilo tega odličnega poročila, ki ga je izdelala gospa Wortmann-Kool.
",sl,14
"Jak rozdzielić odpowiedzialność pomiędzy państwa członkowskie a Unię?
",pl,8
"Ora è venuto il momento di agire.
",it,7
"Anche la commissione per l’industria appoggia pertanto con piena convinzione la Costituzione europea.
",it,14
"Le Parlement jouit de l'immunité selon deux dispositions différentes.
",fr,10
"Muszę powiedzieć, że kompromis osiągnięty w Radzie został osiągnięty z wielkim trudem.
",pl,12
"Ich habe immer unterschiedslos für den Schutz der Menschenrechte gekämpft.
",de,10
"(ES) Paní předsedající, hovoříme zde o více než 360 akcích v období pěti let.
",cs,13
"Bislang lagen die Gemeinschaftsfinanzierungen bei etwa 15 Mrd. Euro.
",de,8
"Ordet "" proklamation"" från Köln är helt klart otillräckligt.
",sv,8
"Situationen är ännu mer oroväckande i fråga om säkerhet än i humanitärt avseende.
",sv,13
"Das Europäische Parlament ist natürlich unmittelbar und gänzlich in alle Verfahrensschritte involviert.
",de,12
"Sono favorevole a una tale iniziativa, e credo che si debba passare all’azione urgentemente.
",it,15
"Je souhaiterais également que M. Vanhanen tienne le même discours aux membres de son Conseil.
",fr,15
"Så har jeg et institutionelt problem, fordi Rådet ikke har beføjelser med hensyn til regeringskonferencen.
",da,15
"Niepokoimy się, czy zrealizujemy cel, którym było zmniejszenie o połowę liczby ofiar do 2010 r.
",pl,14
"8 e, in linea di principio, quella parte dell'emendamento n. 10 relativa ai dati scientifici.
",it,14
"Η ψηφοφορία θα διεξαχθεί αύριο, Πέμπτη, στις 11.00
",el,7
"S spremembo 2 je predlagano, da se obdobje delnega zasedanja odloži na naslednji teden.
",sl,13
"Arvoisa puhemies, alkuperäisessä tarkistuksessa on kyse kynnyksen nostamisesta 10 prosentista 25 prosenttiin.
",fi,10
"El Parlamento no ha indicado aún por qué fue retirada la autorización.
",es,12
"Wir haben jedoch keinen Frieden in Nordirland.
",de,7
""" συζήτηση έληξε.
",el,2
"Alla politiker och beslutsfattare bör ägna denna fråga den uppmärksamhet som den förtjänar.
",sv,13
"Jde o to, že hinduistická nacionalistická BJP získává v současnosti značnou podporu nejen v Uríse.
",cs,15
"Ello permitirá el refuerzo adicional del diálogo continuo entre nuestras respectivas instituciones.
",es,12
"Der er behov for en oversigt over det affald, der er henkastet i EU.
",da,14
"Cairns-maat ja USA edellyttävät EU:lta joustavuutta maataloudessa voidakseen hyväksyä mandaatin laajalle kierrokselle.
",fi,14
"Deshalb versuchen wir im Bericht bestimmte Dinge auf andere Art zu sagen.
",de,12
"Men der er mere i den end som så.
",da,9
"Uden dette vil der ikke være nogen garanti for en standsning af volden.
",da,13
"Ας μην κάνουμε το ίδιο και για το παρόν ευαίσθητο θέμα.
",el,11
"Nous comptons sur vous pour promouvoir la diversité culturelle et linguistique.
",fr,11
"Il est aisé de comprendre pourquoi les négociations posent problème.
",fr,10
"Σας παρακαλούμε κύριε Επίτροπε και κύριοι υπουργοί, να μας παράσχετε τα μέσα.
",el,12
"Dobrovolnickou práci je možné vnímat jako pevnou součást zásady partnerství.
",cs,10
"Będę głosował za odrzuceniem omawianego dokumentu.
",pl,6
"Foi tudo reactivo; não houve nada de proactivo naquilo que nos apresentou.
",pt,12
"Desuden tror vi ikke længere på, at kapitalismen kan fungere med åbenhed og lighed.
",da,14
"Systemy wsparcia bezpośredniego dla rolników w ramach WPR (
",pl,8
"Det är det som allmänheten förväntar sig av parlamentet.
",sv,9
"Vedremo cosa sarà possibile fare.
",it,5
"Mitä tehdä - kuten Lenin sanoisi?
",fi,5
"Děkuji vám mnohokrát.
",cs,3
"J'espère donc qu'il n'y aura pas de discontinuité.
",fr,11
"Και γίνεται αυτό στο όνομα κάποιου ενιαίου ευρωπαϊκού λαού.
",el,9
"Med 18-20 millioner arbejdsløse i Europa påvirkes vores børn naturligvis heraf.
",da,10
"Σας ευχαριστώ, κύριε Επίτροπε.
",el,4
"Zato sem glasoval za poročilo.
",sl,5
"Grazie per l'attenzione.
",it,4
"Finnland, so hörte ich, führt in diesem Jahr eine großangelegte Untersuchung durch.
",de,12
"(EL) Pane předsedající, otázka rovnosti žen a mužů v současné fázi naráží na další překážku.
",cs,15
"Program je otevřený.
",cs,3
"Det förekommer ingen ytterligare debatt i dag.
",sv,7
"Wiemy jednak, że ta kwestia jest bezwzględnie najważniejsza.
",pl,8
"E’ un’opportunità per affrontare alcune ingiustizie fondamentali che caratterizzano il commercio mondiale.
",it,13
"Doufám, že se Komise zhostí své role a zajistí, aby partnerství splnilo své cíle.
",cs,14
"   Quiero corregirla, señora Presidenta.
",es,4
"A resposta é que não se registaram grandes progressos nessa direcção.
",pt,11
"Merci, Monsieur Marín, de votre générosité bien connue.
",fr,8
"Si le producteur préfère mentionner le pays d'origine, il peut aussi le faire.
",fr,14
"En gammel mand døde på checkpointet.
",da,6
"Zamykam debatę łączną.
",pl,3
"Nu måste vi satsa på att få dem att begripa vad det innebär också.
",sv,14
"Chaque pays en prend pour son grade.
",fr,7
"Allerførst det europæiske helbredskort.
",da,4
"Toivomme saavamme jäsenvaltiot vakuuttuneiksi mahdollisimman pian.
",fi,6
"A proposta de directiva do Conselho, tal como alterada, responde amplamente a esta definição.
",pt,14
"Occorre inoltre un codice di condotta nei confronti dei non fumatori.
",it,11
"Por este motivo, talvez possamos resumir a atitude do Parlamento em três pontos.
",pt,13
"Μεταφορές πιστώσεων: βλ. συνοπτικά πρακτικά
",el,5
"Nuestra obligación es llamar a las cosas por su verdadero nombre.
",es,11
"Σε αυτήν επενδύθηκαν 200 εκατομμύρια σε ένα μόνο έτος!
",el,8
"v pisni obliki. - Za.
",sl,4
"Ejercicio de la abogacía
",es,4
"Naopak, zatímco nezaměstnanost se zvyšuje, velké banky znovu očekávají ohromné zisky.
",cs,11
"(Το Σώμα εκφράζει τη σύμφωνη γνώμη του επί της πρότασης)
",el,10
"Niiden, jotka pystyvät osoittamaan kilpailukykynsä sisämarkkinoilla, ei tarvitse pelätä ulkomaista kilpailua.
",fi,11
"Les règles de protection existantes suffisent.
",fr,6
"Denken Sie daran.
",de,3
"Ho scritto a tutti gli Stati membri e ho parlato personalmente con i loro rappresentanti.
",it,15
"I hele præregistreringsperioden arbejdede agenturet hårdt for at forbedre it-systemets drift og effektivitet.
",da,14
"Durante varios meses, el ritmo de las negociaciones de adhesión ha sido muy rápido.
",es,14
"Problemen i Zimbabwe är i stor utsträckning människoframkallade.
",sv,8
"Sočasno delamo, kar je potrebno za zagotovitev finančne stabilnosti evrskega območja kot celote.
",sl,13
"Jeg takker Dem for Deres støtte i denne sag og Deres meget legitime krav.
",da,14
"Lepo je, da ste z nami.
",sl,6
"Mais évitons d'entraver les actions publiques par le biais d'enquêtes coûteuses.
",fr,13
"Sedaj ko imam besedo, bi rada izpostavila še eno vprašanje.
",sl,10
"(FR) Vážená paní předsedající, otázka, ano, ale jaká otázka?
",cs,9
"Esta matanza solo acabará si se usa la fuerza.
",es,9
"Δεν συμφωνούμε ότι η θέσπιση του ευρώ από 11 χώρες συνεπάγεται ένα μη ισχυρό νόμισμα.
",el,14
"Sarebbe stato il caso di chiarire tale questione prima dell'approvazione.
",it,11
"Pogajanj o končnem sporazumu še nekaj časa ne bo.
",sl,9
"Będziemy uważnymi obserwatorami.
",pl,3
"Wenn wir die Kabotage nicht zulassen, was sind die Folgen?
",de,10
"Vi här i parlamentet kommer att göra precis tvärtom.
",sv,9
"Jak powiedział kiedyś niezrównany dr Johnson: ""Życie nie może trwać... chyba, że przez wzajemne ustępstwa”.
",pl,15
"Prosessista ei tule helppo.
",fi,4
"Ko bo zadeva končno prišla v Parlament, moramo mi, evropski poslanci, poskrbeti, da bomo uspešni.
",sl,15
"Der Handel mit Treibhausgasemissionen ist ein weltweites Problem, das globale Lösungen erfordert.
",de,12
"(Il Parlamento approva la risoluzione legislativa)
",it,6
"Actualmente, estes dados são recolhidos numa base voluntária por 18 Estados-Membros.
",pt,11
"Taistelu vapauksien ja demokratian puolesta jatkuu Tiibetissä, Kiinassa, Burmassa ja muualla.
",fi,11
"Κατά συνέπεια, αποτελεί θετική εξέλιξη το γεγονός ότι το Ευρωπαϊκό Κοινοβούλιο έχει επιληφθεί του θέματος.
",el,15
"Tämä osoittaa, että menestyksestämme huolimatta tehtävää on vielä paljon.
",fi,9
"Kam je prišla ta razprava?
",sl,5
"Olisin itse asiassa kiinnostunut selvittämään, mitkä puolueista ovat euroskeptisiä tai jopa Eurooppa-vastaisia.
",fi,13
"Pane předsedo, podporuji tento návrh a rád bych k němu řekl pár slov.
",cs,13
"Na koncu se želim zahvaliti poročevalcu gospodu Beletu za zelo razumen pristop pri tem poročilu.
",sl,15
"Der foreligger ingen ændringsforslag for denne uge.
",da,7
"W chwili obecnej nasz niepokój budzi sposób ustanowienia przedmiotowego systemu wspólnego nadzoru.
",pl,12
"To je z našeho hlediska nezbytný aspekt.
",cs,7
"Drugo sporočilo zadeva notranji trg.
",sl,5
"Vi får inte skapa för höga förväntningar som ingen kan uppfylla.
",sv,11
"W związku z tym poprawka została wycofana.
",pl,7
"Κυρία Πρόεδρε, η χρήση αναβολικών καταστρέφει το σώμα, την ψυχή και το αθλητικό πνεύμα.
",el,14
"Se vogliamo istituirlo dobbiamo finanziarlo in maniera sostenibile.
",it,8
"Levée de la séance
",fr,4
"Abbiamo già presentato alcune proposte tecniche in merito.
",it,8
"Derfor tillader jeg mig at bede Dem besvare fru Theorins spørgsmål.
",da,11
"Wie Ministerin Lindh bereits bemerkte, nehmen Soldaten heute friedensstiftende Missionen für die Gemeinschaft wahr.
",de,14
"Κυρία Επίτροπε, μην έχετε καμία αμφιβολία ότι θα στηρίζουμε κάθε τέτοια προσπάθεια της Επιτροπής!
",el,14
"Neuvoston vaatimuksesta komissio jatkaa kyproksenturkkilaiselle yhteisölle tiedottamista Euroopan unioniin liittymisen eduista.
",fi,11
"För andra är det en förevändning för protektionism.
",sv,8
"Kennedy on todennut: ""Rauhanomaisten mielenilmausten tukahduttaminen tekee väkivaltaisesta vastarinnasta väistämätöntä"".
",fi,10
"Oft bestimmen tatsächlich diese Instrumente den Charakter des heutigen Marktes.
",de,10
"Talouksiemme edun mukaista on kuitenkin, että löytämiämme ratkaisuja kunnioitetaan myös kolmansissa maissa.
",fi,12
"Le rapport Watts est surtout destiné à renforcer l'efficacité des éventuelles opérations de sauvetage.
",fr,15
"Muchas gracias.
",es,2
"È l'industria che vuole vendere più prodotti o li richiede veramente il consumatore?
",it,14
"Uważamy, że możemy na tym polu osiągnąć nowe cele.
",pl,9
"Uważam, że musimy mieć odwagę podjęcia poważnych decyzji.
",pl,8
"Η εισηγήτρια είναι αρκετά ικανοποιημένη με την πληθώρα των εγγράφων που παρήγαγε η Επιτροπή.
",el,14
"Πρόκειται για ανθρώπους με τους οποίους θα πρέπει να συνυπάρξουμε για αιώνες.
",el,12
"För det ändamålet föreslår vi 25 miljoner euro.
",sv,7
"Slutligen ber jag om uppmärksamhet för de kulturella frågorna på den transatlantiska agendan.
",sv,13
"Kommissær De Guchts holdning er blevet nævnt flere gange under forhandlingen.
",da,11
"Debatten är härmed avslutad.
",sv,4
"Mnoho členů připomnělo, že jde o otázku kompetencí a také důvěry.
",cs,11
"Potřebujeme například vhodné strategie zajišťující dostatečný počet lékařů a také příklady osvědčených postupů.
",cs,13
"Où en sommes-nous?
",fr,4
"Velká Británie byla politicky převálcovaná.
",cs,5
"Letno poročilo Evropske unije o človekovih pravicah - Francoska pobuda pri OZN o dekriminalizaciji homoseksualnosti (razprava)
",sl,15
"Primero, el conductor debe querer beneficiarse de un vehículo inteligente.
",es,10
"Vad blev resultatet?
",sv,3
"Beslutningen omhandler også Irans rolle i regionen.
",da,7
"Se volete posso fornirvi alcuni dati.
",it,6
"Strah mi vzbujajo morebitne omejitve funkcije rotirajočega predsedstva, ki jo zaporedno izvršujejo države članice.
",sl,14
"Fue algo sin precedentes en toda la historia del proceso legislativo europeo.
",es,12
"Estas son las preguntas que dirijo a la Comisión.
",es,9
"Nous avons modifié la proposition de la Commission en première lecture.
",fr,11
"En este sentido va nuestra enmienda nº 40, para la que pido su apoyo.
",es,13
"Je pense que là est le premier problème.
",fr,8
"Il ne peut bien sûr être question de programmes de subvention portant sur des milliards.
",fr,15
"Che cosa figura quindi nel programma di lavoro per il 2007?
",it,10
"Nonostante tale riserva la delegazione sostiene l'impianto generale della relazione Vander Taelen.
",it,13
"per iscritto. - (HU) La presidenza ceca si trova in una posizione delicata.
",it,12
"E sem direitos humanos não há Estado de direito nem democracia.
",pt,11
"Han omtalte især Kommissionens rolle som traktaternes vogter.
",da,8
"Svet bi moral biti v naslednjih nekaj dneh na voljo za razprave.
",sl,12
"Abychom byli schopni provádět všechny tyto politiky zaměstnanosti a růstu, potřebujeme prováděcí mechanismy.
",cs,13
"Wir benötigen Maßnahmen seitens der nationalen Regulierungsbehörden und Kartellbehörden, damit sich etwas ändert.
",de,13
"La votazione si svolgerà alle 11.30.
",it,5
"Nous espérons que les récentes propositions du facilitateur de l’ONU, M. Nimetz, y contribueront.
",fr,15
"Uważam, że w tym obszarze istnieje pilna potrzeba zagwarantowania uproszczenia, skuteczności i przejrzystości procedur.
",pl,14
"Dødsstraffen anvendes flittigt.
",da,3
""" ψηφοφορία θα διεξαχθεί την Πέμπτη στις 12.00.
",el,6
"Sprzęt i ludzie pracują usuwając czerwony szlam i unieszkodliwiając go w odpowiednich zakładach.
",pl,13
"Ustavne spremembe so nedvomno zelo prepričljive in bistveno prispevajo k demokratizaciji življenja v Turčiji.
",sl,14
"Tässä kohden herääkin kysymys, kuinka tunnontarkasti jäsenvaltiot ilmoittavat sääntöjenvastaisuuksista.
",fi,9
"Allerførst fordømmer vi på det kraftigste volden, især volden rettet mod civile.
",da,12
"Schriftliche Erklärungen (Artikel 142)
",de,3
"Rådet försökte överföra den makt som tillkommer parlamentet till sig självt.
",sv,11
"Cada año mueren 70 000 mujeres como resultado de abortos poco seguros.
",es,10
"Aparentemente, metade dos deputados lituanos consideram que a homossexualidade é uma perversão.
",pt,12
"Temos de deixar de acenar com cenouras artificiais aos Estados candidatos e ser honestos.
",pt,14
"Vi har i årevis vidst, at Frontex har krænket menneskerettighederne i individuelle tilfælde.
",da,13
"Vi anerkender imidlertid også, at menneskerettigheder ofte skal afvejes mod realpolitik.
",da,11
"Deu o melhor do seu esforço à União Europeia e gostaria de lho agradecer expressamente.
",pt,15
"Wer hat denn dann ein Interesse an mehr Effizienz?
",de,9
"Chiedo comunque che l'argomento non venga ritenuto una questione delicata unicamente per la Grecia.
",it,15
"Toto poselství k nám promlouvá o Evropě postavené na zásadě nedůvěry.
",cs,11
"Anche dopo l'avvio di Eurojust nel 2002, la RGE è rimasta importante.
",it,12
"Dlatego chętnie poprę ten dokument.
",pl,5
"Evropská komise je denně zavalena protesty rozzuřených zemědělců a pobouřených dělníků.
",cs,11
"La votación tendrá lugar mañana a mediodía.
",es,7
"Não seria um tecto, mas sim um chão.
",pt,8
"Η διαδικασία της επιτροπής 3α που προτείνεται ασφαλώς δεν αποτελεί παράδειγμα διαφάνειας ή δημοκρατίας.
",el,13
"J'espère avoir pu répondre à certaines des objections qui ont été formulées.
",fr,13
"On dobrze wiedział, do czego może doprowadzić odwaga.
",pl,8
"Allt beslutas i Dublin på central myndighetsnivå.
",sv,7
"Tím problémem je nedůvěra.
",cs,4
"Ζητώ την απόσυρση των ξένων στρατευμάτων από το Αφγανιστάν. ""
",el,9
"Potřebujeme Komisi, která uskuteční své sliby.
",cs,6
"Έχουν επενδύσεις στις Ηνωμένες Πολιτείες και εταιρείες όπως η Boeing έχουν επενδύσεις στην Ευρώπη.
",el,14
"En simpel, tydelig toldlov viser sig pludselig at medføre et reglement på tre tykke bøger.
",da,15
"E’ ancora di questa opinione?
",it,5
"Είμαι υπέρ μιας Ευρώπης της ποικιλίας η οποία συμπράττει σε κοινές λύσεις όπου αυτές χρειάζονται.
",el,15
"Gospod Graefe zu Baringdorf ima besedo v zvezi z vprašanjem o pravilnosti postopka.
",sl,13
"Mehrere der jüngsten Initiativen der Kommission in diesem Bereich sind Beweis für diesen gemeinsamen Ansatz.
",de,15
"Επιδιώξαμε συμβιβασμούς και τους επιτύχαμε.
",el,5
"Äänestin tämän esityksen puolesta.
",fi,4
"Komission toiminta Ciba-Geigyn asiassa on ollut lievästi sanottuna epäilyttävää ja vastuutonta, muttei erityisen hämmästyttävää.
",fi,15
"Κάτι τέτοιο δεν μπορεί να γίνει χωρίς τη ριζική ρήξη με τον νεοφιλελευθερισμό.
",el,13
"Co plánujete v této otázce?
",cs,5
"Kdo je financuje, a které zájmové skupiny na ně uplatňují svůj vliv?
",cs,12
"Det framgår av de siffror som Martin Schulz nämnde.
",sv,9
"Sprejetje zapisnika predhodne seje: gl. zapisnik
",sl,6
"To je jedno z oblíbených tvrzení ruských diplomatů.
",cs,8
"Pani Przewodnicząca! Pan poseł Messerschmidt ma rację.
",pl,7
"La votación sobre los calendarios será la primera votación de todas.
",es,11
"Η Βιρμανία δίδει στους αρχηγούς αυτούς κρατών την ευκαιρία να επαναρθώσουν το λάθος τους.
",el,14
"Todos o sabemos.
",pt,3
"Afstemningen finder sted kl. 12.00.
",da,4
"Μια δικαστική έρευνα ξεκίνησε προκειμένου να καθοριστεί η ευθύνη των διαφόρων συμμετεχόντων.
",el,12
"Učne načrte je potrebno nenehno posodabljati in izboljšati uporabo informacijskih tehnologij tudi za starejše.
",sl,14
"Keskustelu on päättynyt.
",fi,3
"De er bange for, at Europa i stadig højere grad kommer til at ligne USA.
",da,15
"(DE) Vážená paní předsedající. vážený pane úřadující předsedo Rady, máte mimořádnou odpovědnost.
",cs,12
"Tan solo tengo un comentario crítico que hacer.
",es,8
"Podniesiono go ponownie w czasie, kiedy prosi się nas o głosowanie nad budżetem na 2012 rok.
",pl,15
"Llevamos retraso.
",es,2
"Leo y cito lo que está escrito en dichas conclusiones:
",es,10
"Το Ελεγκτικό Συνέδριο διαπίστωσε ότι οι πληρωμές δεν παρουσίασαν στο σύνολό τους ουσιώδη σφάλματα.
",el,14
"Prerazporeditev je nesmiselna.
",sl,3
"La discussione è chiusa.
",it,4
"Todavía tenemos intención de hacer mucha campaña.
",es,7
"Jsou v ní naprosto neobjasněné okolnosti.
",cs,6
"(Resultados pormenorizados da votação: ver Acta)
",pt,6
"Por essa razão, gostaria de apoiar o pedido.
",pt,8
"Je ne suis pas une lobbyiste rétribuée.
",fr,7
"Propor não significa realizar, mas tomar iniciativas com base nas orientações discutidas com o Parlamento.
",pt,15
"Mám na mysli například vypracování statutu evropské soukromé společnosti.
",cs,9
"Nie mam nic do dodania w tej kwestii, tak więc nie przedstawiłem żadnych poprawek.
",pl,14
"Je crois que nous réussirons dans la tâche que nous avons entreprise aujourd'hui.
",fr,14
"Låt oss se på ett aktuellt exempel.
",sv,7
"Διορθώσεις και προθέσεις ψήφου: βλ. Συνοπτικά Πρακτικά
",el,7
"Το επόμενο αντικείμενο είναι η ψηφοφορία.
",el,6
"Fødevaresikkerhed er en politisk prioritet både på europæisk og globalt plan.
",da,11
"Endast på det viset kan man besegra terrorismen: häri ligger utmaningen i vår tid.
",sv,14
